ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090701000590,aor:AO090701000590,Q2U833,5995472,,"DNA, SC111",
AO090701000585,aor:AO090701000585,Q2U837,5995468,,"DNA, SC111",
AO090701000583,aor:AO090701000583,Q2U838,5995467,,"DNA, SC111",
AO090701000581,aor:AO090701000581,Q2U840,5995465,,"DNA, SC111",
AO090701000580,aor:AO090701000580,Q2U841,5995464,,"DNA, SC111",
AO090701000579,aor:AO090701000579,Q2U842,5995463,,"DNA, SC111",
AO090701000578,aor:AO090701000578,Q2U843,5995462,,"DNA, SC111",
AO090701000577,aor:AO090701000577,Q2U844,5995461,,"DNA, SC111",
AO090701000576,aor:AO090701000576,Q2U845,35119849,,"DNA, SC111",SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000575,aor:AO090701000575,Q2U846,5995460,,"DNA, SC111",
AO090701000573,aor:AO090701000573,Q2U847,5995458,,"DNA, SC111",
AO090701000572,aor:AO090701000572,Q2U848,5995457,,"DNA, SC111",
AO090701000569,aor:AO090701000569,Q2U849,10099819,,"DNA, SC111",
AO090701000568,aor:AO090701000568,Q2U850,5995455,,"DNA, SC111",
AO090701000567,aor:AO090701000567,Q2U851,5995454,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000565,aor:AO090701000565,Q2U853,5995452,,"DNA, SC111",
AO090701000564,aor:AO090701000564,Q2U854,5995451,,"DNA, SC111",
AO090701000563,aor:AO090701000563,Q2U855,5995450,,"DNA, SC111",
AO090701000562,aor:AO090701000562,Q2U856,5995449,,"DNA, SC111",
AO090701000561,aor:AO090701000561,Q2U857,5995448,,"DNA, SC111",
AO090701000560,aor:AO090701000560,Q2U858,5995447,,"DNA, SC111",
AO090701000558,aor:AO090701000558,Q2U859,5995446,,"DNA, SC111",
AO090701000556,aor:AO090701000556,Q2U861,5995444,,"DNA, SC111",
AO090701000554,aor:AO090701000554,Q2U863,5995442,,"DNA, SC111",
AO090701000552,aor:AO090701000552,Q2U865,5995440,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000551,aor:AO090701000551,Q2U866,5995439,,"DNA, SC111",
AO090701000550,aor:AO090701000550,Q2U867,5995438,,"DNA, SC111",
AO090701000549,aor:AO090701000549,Q2U868,5995437,,"DNA, SC111",
AO090701000548,aor:AO090701000548,Q2U869,5995436,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000547,aor:AO090701000547,Q2U870,5995435,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000546,aor:AO090701000546,Q2U871,5995434,,"DNA, SC111",
AO090701000545,aor:AO090701000545,Q2U872,5995433,,"DNA, SC111",
AO090701000544,aor:AO090701000544,Q2U873,5995432,,"DNA, SC111",
AO090701000543,aor:AO090701000543,Q2U874,5995431,,"DNA, SC111",
AO090701000542,aor:AO090701000542,Q2U875,5995430,,Carboxylic ester hydrolase (EC 3.1.1.-),
AO090701000540,aor:AO090701000540,Q2U877,5995428,,"DNA, SC111",
AO090701000539,aor:AO090701000539,Q2U878,5995427,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000538,aor:AO090701000538,Q2U879,5995426,,"DNA, SC111",
AO090701000537,aor:AO090701000537,Q2U880,10100310,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000536,aor:AO090701000536,Q2U881,5995424,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000535,aor:AO090701000535,Q2U882,5995423,,"DNA, SC111",
AO090701000534,aor:AO090701000534,Q2U883,5995422,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000533,aor:AO090701000533,Q2U884,5995421,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000532,aor:AO090701000532,Q2U885,5995420,,"DNA, SC111",
AO090701000529,aor:AO090701000529,Q2U887,5995418,,"DNA, SC111",
AO090701000528,aor:AO090701000528,Q2U888,5995417,,"DNA, SC111",
AO090701000527,aor:AO090701000527,Q2U889,5995416,,"DNA, SC111",
AO090701000526,aor:AO090701000526,Q2U890,5995415,,"DNA, SC111",
AO090701000525,aor:AO090701000525,Q2U891,5995414,,"DNA, SC111",
AO090701000523,aor:AO090701000523,Q2U892,5995413,,"DNA, SC111",
AO090701000521,aor:AO090701000521,Q2U893,5995412,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000520,aor:AO090701000520,Q2U894,5995411,,"DNA, SC111",
AO090701000519,aor:AO090701000519,Q2U895,5995410,,"DNA, SC111",
AO090701000518,aor:AO090701000518,Q2U896,5995409,,"DNA, SC111",
AO090701000515,aor:AO090701000515,Q2U898,5995407,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000514,aor:AO090701000514,Q2U899,5995406,,"DNA, SC111",SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000513,aor:AO090701000513,Q2U8A0,5995405,,"DNA, SC111",
AO090701000512,aor:AO090701000512,Q2U8A1,5995404,,"DNA, SC111",
AO090701000511,aor:AO090701000511,Q2U8A2,5995403,,"DNA, SC111",
AO090701000510,aor:AO090701000510,Q2U8A3,5995402,,"DNA, SC111",
AO090701000509,aor:AO090701000509,Q2U8A4,5995401,,"DNA, SC111",
AO090701000507,aor:AO090701000507,Q2U8A6,5995399,,"DNA, SC111",
AO090701000506,aor:AO090701000506,Q2U8A7,5995398,,"DNA, SC111",
AO090701000505,aor:AO090701000505,Q2U8A8,5995397,,"DNA, SC111",
AO090701000503,aor:AO090701000503,Q2U8B0,5995395,,"DNA, SC111",
AO090701000501,aor:AO090701000501,Q2U8B1,5995394,,"DNA, SC111",
AO090701000500,aor:AO090701000500,Q2U8B2,5995393,,"DNA, SC111",
AO090701000498,aor:AO090701000498,Q2U8B3,5995392,,"DNA, SC111",
AO090701000496,aor:AO090701000496,Q2U8B4,5995391,,"DNA, SC111",
AO090701000495,aor:AO090701000495,Q2U8B5,10098586,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000494,aor:AO090701000494,Q2U8B6,5995389,,"DNA, SC111",
AO090701000493,aor:AO090701000493,Q2U8B7,5995388,,"DNA, SC111",
AO090701000492,aor:AO090701000492,Q2U8B8,5995387,,"DNA, SC111",
AO090701000489,aor:AO090701000489,Q2U8C0,5995385,,"DNA, SC111",
AO090701000487,aor:AO090701000487,Q2U8C1,5995384,,"DNA, SC111",
AO090701000486,aor:AO090701000486,Q2U8C2,5995383,,"DNA, SC111",
AO090701000484,aor:AO090701000484,Q2U8C3,5995382,,"DNA, SC111",
AO090701000483,aor:AO090701000483,Q2U8C4,5995381,,"DNA, SC111",
AO090701000482,aor:AO090701000482,Q2U8C5,5995380,,"DNA, SC111",
AO090701000480,aor:AO090701000480,Q2U8C7,5995378,,"DNA, SC111",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.
AO090701000479,aor:AO090701000479,Q2U8C8,5995377,,"DNA, SC111",
AO090701000478,aor:AO090701000478,Q2U8C9,5995376,,"DNA, SC111",
AO090701000476,aor:AO090701000476,Q2U8D0,5995375,,"DNA, SC111",
AO090701000474,aor:AO090701000474,Q2U8D1,5995374,,"DNA, SC111",
AO090701000472,aor:AO090701000472,Q2U8D3,5995372,,"DNA, SC111",
AO090701000471,aor:AO090701000471,Q2U8D4,5995371,,"DNA, SC111",
AO090701000470,aor:AO090701000470,Q2U8D5,5995370,,"DNA, SC111",
AO090701000468,aor:AO090701000468,Q2U8D7,5995368,,"DNA, SC111",
AO090701000467,aor:AO090701000467,Q2U8D8,5995367,,"DNA, SC111",
AO090701000466,aor:AO090701000466,Q2U8D9,5995366,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000465,aor:AO090701000465,Q2U8E0,5995365,,"DNA, SC111",
AO090701000464,aor:AO090701000464,Q2U8E1,5995364,,"DNA, SC111",
AO090701000463,aor:AO090701000463,Q2U8E2,5995363,,"DNA, SC111",
AO090701000461,aor:AO090701000461,Q2U8E4,5995361,,"DNA, SC111",
AO090701000460,aor:AO090701000460,Q2U8E5,5995359,,"DNA, SC111",
AO090701000459,aor:AO090701000459,Q2U8E6,35119848,,"DNA, SC111",
AO090701000458,aor:AO090701000458,Q2U8E7,5995358,,"DNA, SC111",
AO090701000457,aor:AO090701000457,Q2U8E8,5995357,,"DNA, SC111",
AO090701000456,aor:AO090701000456,Q2U8E9,5995356,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000455,aor:AO090701000455,Q2U8F0,5995355,,"DNA, SC111",
AO090701000454,aor:AO090701000454,Q2U8F1,5995354,,"DNA, SC111",
AO090701000453,aor:AO090701000453,Q2U8F2,5995353,,"DNA, SC111",
AO090701000452,aor:AO090701000452,Q2U8F3,5995352,,"DNA, SC111",
AO090701000450,aor:AO090701000450,Q2U8F5,5995350,,"DNA, SC111",
AO090701000449,aor:AO090701000449,Q2U8F6,5995349,,"DNA, SC111",
AO090701000448,aor:AO090701000448,Q2U8F7,5995348,,"DNA, SC111",
AO090701000447,aor:AO090701000447,Q2U8F8,5995347,,"DNA, SC111",
AO090701000446,aor:AO090701000446,Q2U8F9,5995346,,"DNA, SC111",
AO090701000445,aor:AO090701000445,Q2U8G0,5995345,,"DNA, SC111",
AO090701000444,aor:AO090701000444,Q2U8G1,5995344,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000442,aor:AO090701000442,Q2U8G2,5995343,,"DNA, SC111",
AO090701000441,aor:AO090701000441,Q2U8G3,5995342,,"DNA, SC111",
AO090701000440,aor:AO090701000440,Q2U8G4,5995341,,"DNA, SC111",
AO090701000439,aor:AO090701000439,Q2U8G5,5995340,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000438,aor:AO090701000438,Q2U8G6,5995339,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000435,aor:AO090701000435,Q2U8G9,5995336,,"DNA, SC111",
AO090701000434,aor:AO090701000434,Q2U8H0,5995335,,"DNA, SC111",
AO090701000433,aor:AO090701000433,Q2U8H1,5995334,,"DNA, SC111",
AO090701000432,aor:AO090701000432,Q2U8H2,5995333,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000431,aor:AO090701000431,Q2U8H3,5995332,,"DNA, SC111",
AO090701000430,aor:AO090701000430,Q2U8H4,5995331,,"DNA, SC111",
AO090701000429,aor:AO090701000429,Q2U8H5,5995330,,"DNA, SC111",
AO090701000428,aor:AO090701000428,Q2U8H6,5995329,,"DNA, SC111",
AO090701000427,aor:AO090701000427,Q2U8H7,5995328,,"DNA, SC111",
AO090701000426,aor:AO090701000426,Q2U8H8,5995327,,"DNA, SC111",
AO090701000425,aor:AO090701000425,Q2U8H9,5995326,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000424,aor:AO090701000424,Q2U8I0,5995325,,"DNA, SC111",
AO090701000423,aor:AO090701000423,Q2U8I1,5995324,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000421,aor:AO090701000421,Q2U8I3,5995322,,"DNA, SC111",
AO090701000420,aor:AO090701000420,Q2U8I4,5995321,,"DNA, SC111",
AO090701000419,aor:AO090701000419,Q2U8I5,5995320,,"DNA, SC111",
AO090701000417,aor:AO090701000417,Q2U8I6,5995319,,"DNA, SC111",
AO090701000416,aor:AO090701000416,Q2U8I7,5995318,,"DNA, SC111",
AO090701000415,aor:AO090701000415,Q2U8I8,5995317,,"DNA, SC111",
AO090701000414,aor:AO090701000414,Q2U8I9,5995316,,"DNA, SC111",
AO090701000413,aor:AO090701000413,Q2U8J0,5995315,,"DNA, SC111",
AO090701000412,aor:AO090701000412,Q2U8J1,5995314,,"DNA, SC111",
AO090701000410,aor:AO090701000410,Q2U8J3,5995312,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000409,aor:AO090701000409,Q2U8J4,5995311,,"DNA, SC111",
AO090701000408,aor:AO090701000408,Q2U8J5,5995310,,"DNA, SC111",
AO090701000407,aor:AO090701000407,Q2U8J6,5995309,,"DNA, SC111",
AO090701000405,aor:AO090701000405,Q2U8J8,5995307,,"DNA, SC111",
AO090701000404,aor:AO090701000404,Q2U8J9,5995306,,"DNA, SC111",
AO090701000403,aor:AO090701000403,Q2U8K0,5995305,,"DNA, SC111",
AO090701000400,aor:AO090701000400,Q2U8K3,5995302,,"DNA, SC111",
AO090701000399,aor:AO090701000399,Q2U8K4,5995301,,"DNA, SC111",
AO090701000398,aor:AO090701000398,Q2U8K5,5995300,,"DNA, SC111",
AO090701000392,aor:AO090701000392,Q2U8K8,5995297,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000391,aor:AO090701000391,Q2U8K9,5995296,,"DNA, SC111",
AO090701000388,aor:AO090701000388,Q2U8L1,5995294,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004370}.
AO090701000387,aor:AO090701000387,Q2U8L2,5995292,,"DNA, SC111",
AO090701000385,aor:AO090701000385,Q2U8L3,35119847,,"DNA, SC111",
AO090701000382,aor:AO090701000382,Q2U8L4,5995291,,"DNA, SC111",
AO090701000381,aor:AO090701000381,Q2U8L5,,,E2 ubiquitin-conjugating enzyme (EC 2.3.2.23),
AO090701000379,aor:AO090701000379,Q2U8L7,5995288,,"DNA, SC111",
AO090701000377,aor:AO090701000377,Q2U8L9,5995286,,"DNA, SC111",
AO090701000376,aor:AO090701000376,Q2U8M0,5995285,,"DNA, SC111",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.
AO090701000375,aor:AO090701000375,Q2U8M1,5995284,,"DNA, SC111",
AO090701000372,aor:AO090701000372,Q2U8M3,5995282,,"DNA, SC111",
AO090701000371,aor:AO090701000371,Q2U8M4,5995281,,"DNA, SC111",
AO090701000370,aor:AO090701000370,Q2U8M5,5995280,,"DNA, SC111",
AO090701000367,aor:AO090701000367,Q2U8M6,5995279,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.
AO090701000366,aor:AO090701000366,Q2U8M7,35119846,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.
AO090701000365,aor:AO090701000365,Q2U8M8,5995277,,"DNA, SC111",
AO090701000363,aor:AO090701000363,Q2U8N0,5995275,,"DNA, SC111",
AO090701000362,aor:AO090701000362,Q2U8N1,5995274,,"DNA, SC111",
AO090701000361,aor:AO090701000361,Q2U8N2,5995273,,"DNA, SC111",
AO090701000356,aor:AO090701000356,Q2U8N5,5995270,,"DNA, SC111",
AO090701000354,aor:AO090701000354,Q2U8N7,5995268,,"DNA, SC111",
AO090701000353,aor:AO090701000353,Q2U8N8,5995267,,"DNA, SC111",
AO090701000352,aor:AO090701000352,Q2U8N9,5995266,,non-specific serine/threonine protein kinase (EC 2.7.11.1),
AO090701000350,aor:AO090701000350,Q2U8P1,5995264,,"DNA, SC111",
AO090701000347,aor:AO090701000347,Q2U8P3,5995262,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000346,aor:AO090701000346,Q2U8P4,5995261,,"DNA, SC111",
AO090701000345,aor:AO090701000345,Q2U8P5,5995260,,"DNA, SC111",
AO090701000344,aor:AO090701000344,Q2U8P6,5995259,,"DNA, SC111",
AO090701000343,aor:AO090701000343,Q2U8P7,5995258,,"DNA, SC111",
AO090701000342,aor:AO090701000342,Q2U8P8,5995257,,"DNA, SC111",
AO090701000341,aor:AO090701000341,Q2U8P9,5995256,,"DNA, SC111",
AO090701000340,aor:AO090701000340,Q2U8Q0,5995254,,"DNA, SC111",
AO090701000339,aor:AO090701000339,Q2U8Q1,35119845,,"DNA, SC111",
AO090701000338,aor:AO090701000338,Q2U8Q2,5995748,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000337,aor:AO090701000337,Q2U8Q3,5995252,,"DNA, SC111",
AO090701000336,aor:AO090701000336,Q2U8Q4,5995251,,"DNA, SC111",
AO090701000335,aor:AO090701000335,Q2U8Q5,5995250,,"DNA, SC111",
AO090701000333,aor:AO090701000333,Q2U8Q7,5995248,,"DNA, SC111",
AO090701000330,aor:AO090701000330,Q2U8Q8,5995247,,"DNA, SC111",
AO090701000327,aor:AO090701000327,Q2U8R1,5995244,,"DNA, SC111",
AO090701000326,aor:AO090701000326,Q2U8R2,5995243,,"DNA, SC111",
AO090701000325,aor:AO090701000325,Q2U8R3,5995242,,"DNA, SC111",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.
AO090701000324,aor:AO090701000324,Q2U8R4,5995241,,Carboxylic ester hydrolase (EC 3.1.1.-),
AO090701000322,aor:AO090701000322,Q2U8R5,10098572,,"DNA, SC111",
AO090701000319,aor:AO090701000319,Q2U8R7,5995238,,"DNA, SC111",
AO090701000317,aor:AO090701000317,Q2U8R9,5995236,,"DNA, SC111",
AO090701000316,aor:AO090701000316,Q2U8S0,5995235,,"DNA, SC111",
AO090701000315,aor:AO090701000315,Q2U8S1,5995234,,"DNA, SC111",
AO090701000312,aor:AO090701000312,Q2U8S4,5995231,,"DNA, SC111",
AO090701000311,aor:AO090701000311,Q2U8S5,5995230,,"DNA, SC111",
AO090701000310,aor:AO090701000310,Q2U8S6,5995229,,"DNA, SC111",
AO090701000306,aor:AO090701000306,Q2U8S9,5995226,,"DNA, SC111",
AO090701000305,aor:AO090701000305,Q2U8T0,5995225,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.
AO090701000304,aor:AO090701000304,Q2U8T1,35119844,,"DNA, SC111",
AO090701000303,aor:AO090701000303,Q2U8T2,5995223,,"DNA, SC111",
AO090701000302,aor:AO090701000302,Q2U8T3,5995222,,"DNA, SC111",
AO090701000301,aor:AO090701000301,Q2U8T4,5995221,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000300,aor:AO090701000300,Q2U8T5,5995220,,"DNA, SC111",
AO090701000298,aor:AO090701000298,Q2U8T7,5995218,,"DNA, SC111",
AO090701000296,aor:AO090701000296,Q2U8T8,5995217,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000295,aor:AO090701000295,Q2U8T9,5995216,,"DNA, SC111",
AO090701000294,aor:AO090701000294,Q2U8U0,10099661,,"DNA, SC111",
AO090701000293,aor:AO090701000293,Q2U8U1,5995214,,"DNA, SC111",SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000292,aor:AO090701000292,Q2U8U2,5995747,,"DNA, SC111",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.
AO090701000291,aor:AO090701000291,Q2U8U3,5995212,,"DNA, SC111",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090701000290,aor:AO090701000290,Q2U8U4,5995211,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000289,aor:AO090701000289,Q2U8U5,5995209,,"DNA, SC111",
AO090701000288,aor:AO090701000288,Q2U8U6,35119843,,"DNA, SC111",
AO090701000286,aor:AO090701000286,Q2U8U7,5995208,,"DNA, SC111",
AO090701000285,aor:AO090701000285,Q2U8U8,5995207,,catechol O-methyltransferase (EC 2.1.1.6),
AO090701000284,aor:AO090701000284,Q2U8U9,5995206,,"DNA, SC111",
AO090701000283,aor:AO090701000283,Q2U8V0,5995205,,"DNA, SC111",
AO090701000278,aor:AO090701000278,Q2U8V5,5995200,,"DNA, SC111",
AO090701000277,aor:AO090701000277,Q2U8V6,5995199,,"DNA, SC111",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.
AO090701000276,aor:AO090701000276,Q2U8V7,5995198,,"DNA, SC111",
AO090701000275,aor:AO090701000275,Q2U8V8,5995197,,"DNA, SC111",
AO090701000273,aor:AO090701000273,Q2U8W0,5995195,,"DNA, SC111",
AO090701000271,aor:AO090701000271,Q2U8W1,5995746,,"DNA, SC111",
AO090701000269,aor:AO090701000269,Q2U8W3,5995192,,"DNA, SC111",
AO090701000268,aor:AO090701000268,Q2U8W4,5995191,,"DNA, SC111",
AO090701000267,aor:AO090701000267,Q2U8W5,5995190,,"DNA, SC111",
AO090701000266,aor:AO090701000266,Q2U8W6,5995189,,"DNA, SC111",SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000262,aor:AO090701000262,Q2U8X0,5995185,,"DNA, SC111",
AO090701000260,aor:AO090701000260,Q2U8X1,5995184,,"DNA, SC111",
AO090701000259,aor:AO090701000259,Q2U8X2,5995183,,"DNA, SC111",
AO090701000257,aor:AO090701000257,Q2U8X3,5995182,,"DNA, SC111",
AO090701000255,aor:AO090701000255,Q2U8X4,5995181,,"DNA, SC111",
AO090701000254,aor:AO090701000254,Q2U8X5,5995180,,"DNA, SC111",
AO090701000252,aor:AO090701000252,Q2U8X7,5995178,,"DNA, SC111",
AO090701000251,aor:AO090701000251,Q2U8X8,5995177,,"DNA, SC111",
AO090701000250,aor:AO090701000250,Q2U8X9,5995176,,"DNA, SC111",
AO090701000249,aor:AO090701000249,Q2U8Y0,5995175,,"DNA, SC111",
AO090701000248,aor:AO090701000248,Q2U8Y1,5995174,,"DNA, SC111",
AO090701000247,aor:AO090701000247,Q2U8Y2,5995173,,"DNA, SC111",
AO090701000245,aor:AO090701000245,Q2U8Y4,5995171,,"DNA, SC111",
AO090701000242,aor:AO090701000242,Q2U8Y7,5995168,,"DNA, SC111",
AO090701000241,aor:AO090701000241,Q2U8Y8,5995167,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000240,aor:AO090701000240,Q2U8Y9,5995166,,"DNA, SC111",
AO090701000239,aor:AO090701000239,Q2U8Z0,5995165,,"DNA, SC111",
AO090701000238,aor:AO090701000238,Q2U8Z1,5995164,,"DNA, SC111",
AO090701000236,aor:AO090701000236,Q2U8Z2,5995745,,"DNA, SC111",
AO090701000235,aor:AO090701000235,Q2U8Z3,,,"DNA, SC111",
AO090701000234,aor:AO090701000234,Q2U8Z4,10098786,,"DNA, SC111",
AO090701000233,aor:AO090701000233,Q2U8Z5,5995160,,"DNA, SC111",
AO090701000232,aor:AO090701000232,Q2U8Z6,5995159,,"DNA, SC111",
AO090701000231,aor:AO090701000231,Q2U8Z7,5995158,,"DNA, SC111",
AO090701000229,aor:AO090701000229,Q2U8Z9,5995156,,"DNA, SC111",
AO090701000228,aor:AO090701000228,Q2U900,5995155,,"DNA, SC111",SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000227,aor:AO090701000227,Q2U901,5995154,,"DNA, SC111",
AO090701000224,aor:AO090701000224,Q2U904,5995151,,"DNA, SC111",
AO090701000223,aor:AO090701000223,Q2U905,5995150,,"DNA, SC111",
AO090701000222,aor:AO090701000222,Q2U906,5995148,,"DNA, SC111",
AO090701000221,aor:AO090701000221,Q2U907,35119842,,"DNA, SC111",
AO090701000219,aor:AO090701000219,Q2U909,5995146,,"DNA, SC111",
AO090701000217,aor:AO090701000217,Q2U911,5995144,,"DNA, SC111",
AO090701000215,aor:AO090701000215,Q2U912,5995143,,"DNA, SC111",
AO090701000213,aor:AO090701000213,Q2U914,5995141,,"DNA, SC111",
AO090701000210,aor:AO090701000210,Q2U917,5995138,,"DNA, SC111",
AO090701000205,aor:AO090701000205,Q2U921,5995134,,"DNA, SC111",
AO090701000204,aor:AO090701000204,Q2U922,5995133,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000202,aor:AO090701000202,Q2U923,5995132,,"DNA, SC111",
