ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090124000078,aor:AO090124000078,Q2U739,5995830,,"DNA, SC124",SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.
AO090124000077,aor:AO090124000077,Q2U740,5995829,,enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.104),SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.
AO090124000075,aor:AO090124000075,Q2U742,5995827,,"DNA, SC124",
AO090124000071,aor:AO090124000071,Q2U746,5995823,,Succinyl-CoA:3-ketoacid-coenzyme A transferase (EC 2.8.3.5),
AO090124000065,aor:AO090124000065,Q2U751,5995818,,Endo-chitosanase (EC 3.2.1.132),"SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613, ECO:0000256|RuleBase:RU361208}."
AO090124000061,aor:AO090124000061,Q2U755,5995814,,"DNA, SC124",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.
AO090124000053,aor:AO090124000053,Q2U763,35119817,,Calcium-transporting ATPase 2 (EC 7.2.2.10),SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000256|ARBA:ARBA00004128}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004128}.
AO090124000052,aor:AO090124000052,Q2U764,5995805,,Vacuolar calcium ion transporter,SUBCELLULAR LOCATION: Endomembrane system {ECO:0000256|ARBA:ARBA00004127}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004127}. Vacuole membrane {ECO:0000256|RuleBase:RU365028}.
AO090124000051,aor:AO090124000051,Q2U765,5995804,,Vacuolar calcium ion transporter,SUBCELLULAR LOCATION: Endomembrane system {ECO:0000256|ARBA:ARBA00004127}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004127}. Vacuole membrane {ECO:0000256|RuleBase:RU365028}.
AO090124000050,aor:AO090124000050,Q2U766,5995803,,Vacuolar calcium ion transporter,SUBCELLULAR LOCATION: Endomembrane system {ECO:0000256|ARBA:ARBA00004127}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004127}. Vacuole membrane {ECO:0000256|RuleBase:RU365028}.
